InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
554770,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,5/26/2011 11:40,0.29,14911,EIRE
560433,22424,ENAMEL BREAD BIN CREAM,1,7/18/2011 15:49,24.96,,United Kingdom
556484,22914,BLUE COAT RACK PARIS FASHION,1,6/12/2011 13:17,4.95,16938,United Kingdom
578781,16237,SLEEPING CAT ERASERS,2,11/25/2011 11:54,0.21,15872,United Kingdom
560090,23025,DRAWER KNOB VINTAGE GLASS BALL,1,7/14/2011 16:46,4.13,,United Kingdom
580752,20982,12 PENCILS TALL TUBE SKULLS,12,12/6/2011 9:56,0.85,12478,Greece
565427,21172,PARTY METAL SIGN ,1,9/4/2011 12:49,1.45,17774,United Kingdom
555930,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,6/8/2011 8:26,0.85,14745,United Kingdom
571905,22575,METAL MERRY CHRISTMAS WREATH,8,10/19/2011 14:51,1.95,12370,Cyprus
562258,20992,JAZZ HEARTS PURSE NOTEBOOK,1,8/3/2011 15:28,0.39,16348,United Kingdom
558814,23302,KNEELING MAT HOUSEWORK  DESIGN,1,7/4/2011 11:47,1.65,14049,United Kingdom
544461,22675,FRENCH KITCHEN SIGN BLUE METAL,24,2/20/2011 14:08,1.25,13744,United Kingdom
550638,22260,FELT EGG COSY BLUE RABBIT ,5,4/19/2011 15:44,1.63,,United Kingdom
539225,22026,BANQUET BIRTHDAY  CARD  ,12,12/16/2010 13:02,0.42,15379,United Kingdom
567671,21934,SKULL SHOULDER BAG,1,9/21/2011 15:34,1.63,,United Kingdom
536416,21915,RED  HARMONICA IN BOX ,72,12/1/2010 11:58,1.25,13255,United Kingdom
539014,22113,GREY HEART HOT WATER BOTTLE,3,12/15/2010 13:37,3.75,17692,United Kingdom
544598,21915,RED  HARMONICA IN BOX ,3,2/21/2011 18:10,2.46,,United Kingdom
567507,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,3,9/20/2011 14:46,5.79,,United Kingdom
571429,22082,RIBBON REEL STRIPES DESIGN ,5,10/17/2011 12:50,1.65,15335,United Kingdom
573373,23365,SET 12 COLOUR PENCILS LOVE LONDON,3,10/30/2011 13:37,0.65,14684,United Kingdom
536876,20719,WOODLAND CHARLOTTE BAG,4,12/3/2010 11:36,1.66,,United Kingdom
569846,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,10/6/2011 13:42,4.15,13422,United Kingdom
543342,82578,KITCHEN METAL SIGN,12,2/7/2011 12:27,0.55,17162,United Kingdom
562540,21790,VINTAGE SNAP CARDS,3,8/5/2011 15:38,0.85,17400,United Kingdom
565067,22420,LIPSTICK PEN BABY PINK,5,8/31/2011 17:16,0.42,15856,United Kingdom
573340,22610,PENS ASSORTED FUNNY FACE,36,10/30/2011 11:55,0.19,14159,United Kingdom
C571346,23295,SET OF 12 MINI LOAF BAKING CASES,-6,10/17/2011 11:46,0.83,16101,United Kingdom
544461,22684,FRENCH BLUE METAL DOOR SIGN 9,20,2/20/2011 14:08,1.25,13744,United Kingdom
559337,22029,SPACEBOY BIRTHDAY CARD,1,7/7/2011 16:27,0.83,,United Kingdom
539859,21192,WHITE BELL HONEYCOMB PAPER ,30,12/22/2010 16:23,1.65,17905,United Kingdom
572703,23306,SET OF 36 PANTRY PAPER DOILIES,1,10/25/2011 14:35,1.45,16110,United Kingdom
566262,22834,HAND WARMER BABUSHKA DESIGN,2,9/11/2011 12:56,2.1,15527,United Kingdom
557274,22090,PAPER BUNTING RETROSPOT,6,6/19/2011 11:44,2.95,14004,United Kingdom
557631,22193,RED DINER WALL CLOCK,12,6/21/2011 15:01,7.65,18229,United Kingdom
579787,22507,MEMO BOARD RETROSPOT  DESIGN,1,11/30/2011 15:33,10.79,,United Kingdom
551340,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,4/27/2011 17:23,1.63,,United Kingdom
560260,23110,PARISIENNE KEY CABINET ,2,7/17/2011 13:32,5.75,14044,United Kingdom
575297,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,11/9/2011 12:26,2.95,15134,United Kingdom
558620,85014B,RED RETROSPOT UMBRELLA,1,6/30/2011 16:39,5.95,15584,United Kingdom
580318,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/2/2011 15:39,2.08,17686,United Kingdom
552234,84923,PINK BUTTERFLY HANDBAG W BOBBLES,1,5/6/2011 16:01,4.13,,United Kingdom
543909,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2/14/2011 12:32,5.79,,United Kingdom
541875,22040,BOTANICAL ROSE GIFT WRAP,25,1/24/2011 10:01,0.42,16558,United Kingdom
573874,46000M,POLYESTER FILLER PAD 45x45cm,1,11/1/2011 12:45,1.55,13868,United Kingdom
570593,90000D,COPPER/OLIVE GREEN FLOWER NECKLACE,2,10/11/2011 11:38,5.95,18180,United Kingdom
547789,22197,SMALL POPCORN HOLDER,12,3/25/2011 12:04,0.85,14911,EIRE
562034,21915,RED  HARMONICA IN BOX ,12,8/2/2011 9:14,1.25,12449,Belgium
553527,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,5/17/2011 14:57,1.65,15123,United Kingdom
543983,82552,WASHROOM METAL SIGN,12,2/15/2011 9:20,1.45,16979,United Kingdom
568049,22766,PHOTO FRAME CORNICE,2,9/23/2011 12:38,2.95,17841,United Kingdom
565967,23289,DOLLY GIRL CHILDRENS BOWL,24,9/8/2011 11:27,1.25,14646,Netherlands
545897,21896,POTTING SHED TWINE,3,3/7/2011 17:22,4.13,,United Kingdom
545979,20728,LUNCH BAG CARS BLUE,4,3/8/2011 12:30,1.65,12748,United Kingdom
547721,37475,SET/4 COLOURFUL MIXING BOWLS,1,3/25/2011 10:14,9.95,13000,United Kingdom
556021,21242,RED RETROSPOT PLATE ,24,6/8/2011 12:03,1.69,12921,United Kingdom
556484,22750,FELTCRAFT PRINCESS LOLA DOLL,1,6/12/2011 13:17,3.75,16938,United Kingdom
575193,21731,RED TOADSTOOL LED NIGHT LIGHT,12,11/9/2011 9:34,1.65,12681,France
580503,47566B,TEA TIME PARTY BUNTING,1,12/4/2011 13:20,4.95,13956,United Kingdom
574951,22654,DELUXE SEWING KIT ,3,11/8/2011 9:44,5.95,15763,United Kingdom
547697,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,3/24/2011 16:23,2.95,14348,United Kingdom
541302,22835,HOT WATER BOTTLE I AM SO POORLY,4,1/17/2011 14:18,4.65,13769,United Kingdom
545430,82482,WOODEN PICTURE FRAME WHITE FINISH,6,3/2/2011 14:50,2.55,15636,United Kingdom
543910,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2/14/2011 12:36,0.95,13475,United Kingdom
553011,85135C,RED DRAGONFLY HELICOPTER,1,5/12/2011 17:03,7.95,14390,United Kingdom
556932,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,6/15/2011 15:41,0.83,,United Kingdom
567475,22417,PACK OF 60 SPACEBOY CAKE CASES,3,9/20/2011 13:11,0.55,16360,United Kingdom
546116,21116,OWL DOORSTOP,9,3/9/2011 13:53,4.95,15367,United Kingdom
561455,22697,GREEN REGENCY TEACUP AND SAUCER,12,7/27/2011 11:58,2.95,15095,United Kingdom
551003,85175,CACTI T-LIGHT CANDLES,16,4/26/2011 9:44,0.42,16456,United Kingdom
551422,22084,,-150,4/28/2011 14:11,0,,United Kingdom
570598,22942,CHRISTMAS LIGHTS 10 SANTAS ,6,10/11/2011 11:55,8.5,14175,United Kingdom
560991,POST,POSTAGE,3,7/22/2011 13:29,40,12438,Norway
571300,23368,SET 12 COLOUR PENCILS DOLLY GIRL ,16,10/17/2011 8:56,0.65,14262,United Kingdom
572509,23203,JUMBO BAG VINTAGE DOILY ,2,10/24/2011 14:25,2.08,17004,United Kingdom
543630,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,6,2/10/2011 16:01,0.85,15046,United Kingdom
545460,22973,CHILDREN'S CIRCUS PARADE MUG,1,3/2/2011 17:33,1.65,13230,United Kingdom
576053,23005,TRAVEL CARD WALLET I LOVE LONDON,6,11/13/2011 14:53,0.42,16726,United Kingdom
576099,23162,REGENCY TEA STRAINER,8,11/14/2011 10:28,3.75,13021,United Kingdom
567875,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,9/22/2011 14:29,4.25,16348,United Kingdom
561371,23182,TOILET SIGN OCCUPIED OR VACANT,2,7/26/2011 16:25,2.46,,United Kingdom
547042,11001,ASSTD DESIGN RACING CAR PEN,2,3/20/2011 11:00,3.29,,United Kingdom
550323,71459,HANGING JAM JAR T-LIGHT HOLDER,12,4/17/2011 12:57,0.85,13692,United Kingdom
581469,20931,BLUE POT PLANT CANDLE ,1,12/8/2011 19:28,1.25,14606,United Kingdom
547071,23126,FELTCRAFT GIRL AMELIE KIT,4,3/20/2011 13:59,4.95,12693,Germany
548614,20980,36 PENCILS TUBE POSY,3,4/1/2011 11:47,1.25,14419,United Kingdom
553833,23202,JUMBO BAG VINTAGE LEAF,5,5/19/2011 11:41,2.08,17346,United Kingdom
567308,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,9/19/2011 13:35,2.95,16422,United Kingdom
564755,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,8/30/2011 10:31,1.25,,United Kingdom
545232,22296,HEART IVORY TRELLIS LARGE,12,3/1/2011 10:19,1.65,15676,United Kingdom
560239,21888,BINGO SET,4,7/17/2011 11:50,3.75,13507,United Kingdom
565931,23241,TREASURE TIN GYMKHANA DESIGN,6,9/8/2011 10:35,2.08,12683,France
544037,22961,JAM MAKING SET PRINTED,12,2/15/2011 11:31,1.45,14961,United Kingdom
540821,22984,CARD GINGHAM ROSE ,2,1/11/2011 13:16,0.85,,United Kingdom
579885,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6,11/30/2011 17:37,1.45,15444,United Kingdom
562273,84870C,GREEN GEISHA GIRL ,4,8/4/2011 9:55,3.75,12502,Spain
574914,22083,PAPER CHAIN KIT RETROSPOT,2,11/7/2011 16:16,2.95,17109,United Kingdom
562233,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,1,8/3/2011 14:54,3.75,14972,United Kingdom
570674,72818,CHRISTMAS DECOUPAGE CANDLE,36,10/11/2011 14:59,0.39,14911,EIRE
543909,22178,VICTORIAN GLASS HANGING T-LIGHT,2,2/14/2011 12:32,2.46,,United Kingdom
567184,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,1,9/18/2011 15:41,3.75,16033,United Kingdom
556527,23209,LUNCH BAG DOILEY PATTERN ,3,6/13/2011 11:33,1.65,16205,United Kingdom
560397,22668,PINK BABY BUNTING,5,7/18/2011 14:04,2.95,17652,United Kingdom
567473,22424,ENAMEL BREAD BIN CREAM,1,9/20/2011 12:50,12.75,17841,United Kingdom
580671,22465,HANGING METAL STAR LANTERN,24,12/5/2011 14:26,0.79,15159,United Kingdom
554977,21561,DINOSAUR LUNCH BOX WITH CUTLERY,2,5/29/2011 11:03,2.55,16444,United Kingdom
549548,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,4,4/10/2011 11:35,0.85,13548,United Kingdom
548714,21976,PACK OF 60 MUSHROOM CAKE CASES,1,4/3/2011 15:07,0.55,17337,United Kingdom
562717,23118,PARISIENNE JEWELLERY DRAWER ,1,8/8/2011 15:42,14.96,,United Kingdom
544169,22194,BLACK DINER WALL CLOCK,2,2/16/2011 13:44,8.5,13078,United Kingdom
567140,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,9/16/2011 14:47,4.25,15410,United Kingdom
574074,22726,ALARM CLOCK BAKELIKE GREEN,2,11/2/2011 15:33,7.46,,United Kingdom
562587,16161U,WRAP SUKI AND FRIENDS,25,8/7/2011 14:34,0.42,15640,United Kingdom
572274,23338,EGG FRYING PAN RED ,8,10/21/2011 16:48,2.08,14031,United Kingdom
549542,21166,COOK WITH WINE METAL SIGN ,2,4/10/2011 11:11,2.08,15311,United Kingdom
550823,22626,BLACK KITCHEN SCALES,12,4/21/2011 9:36,7.65,16133,United Kingdom
544336,22423,REGENCY CAKESTAND 3 TIER,1,2/17/2011 19:36,12.75,13230,United Kingdom
579124,23535,WALL ART BICYCLE SAFETY,1,11/28/2011 12:14,5.95,15721,United Kingdom
555350,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,6/2/2011 12:08,2.55,17652,United Kingdom
559506,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,7/8/2011 15:17,3.29,,United Kingdom
561894,22349,DOG BOWL CHASING BALL DESIGN,1,7/31/2011 15:00,3.75,14456,United Kingdom
571056,22423,REGENCY CAKESTAND 3 TIER,1,10/13/2011 14:10,12.75,15367,United Kingdom
548312,22784,LANTERN CREAM GAZEBO ,2,3/30/2011 12:12,4.95,16059,United Kingdom
573585,22396,MAGNETS PACK OF 4 RETRO PHOTO,4,10/31/2011 14:41,2.46,,United Kingdom
571845,21263,GREEN GOOSE FEATHER TREE 60CM,2,10/19/2011 12:34,1.95,16869,United Kingdom
560911,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,2,7/21/2011 18:00,4.25,17961,United Kingdom
564335,21980,PACK OF 12 RED RETROSPOT TISSUES ,1,8/24/2011 14:23,0.29,15800,United Kingdom
550209,22507,MEMO BOARD RETROSPOT  DESIGN,1,4/15/2011 10:39,10.79,,United Kingdom
581193,23291,DOLLY GIRL CHILDRENS CUP,2,12/7/2011 17:05,1.25,17097,Spain
542275,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,1/27/2011 10:18,0.55,13089,United Kingdom
574481,22210,WOOD STAMP SET BEST WISHES,5,11/4/2011 12:45,0.83,18022,United Kingdom
569129,22735,RIBBON REEL SOCKS AND MITTENS,1,9/30/2011 13:40,1.65,15034,United Kingdom
581492,21528,DAIRY MAID TRADITIONAL TEAPOT ,1,12/9/2011 10:03,13.29,,United Kingdom
574950,22615,PACK OF 12 CIRCUS PARADE TISSUES ,1,11/8/2011 9:29,0.83,,United Kingdom
539451,22975,SPACEBOY CHILDRENS EGG CUP,1,12/17/2010 16:59,2.51,,United Kingdom
564336,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,2,8/24/2011 14:28,1.25,12748,United Kingdom
566060,22748,POPPY'S PLAYHOUSE KITCHEN,1,9/8/2011 15:27,4.13,,United Kingdom
549129,22432,WATERING CAN PINK BUNNY,3,4/6/2011 14:53,1.95,17042,United Kingdom
547987,21535,RED RETROSPOT SMALL MILK JUG,6,3/29/2011 9:11,2.55,17428,United Kingdom
550447,22507,MEMO BOARD RETROSPOT  DESIGN,3,4/18/2011 12:36,4.95,16033,United Kingdom
543979,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,6,2/14/2011 15:43,0.65,14606,United Kingdom
568193,22111,SCOTTIE DOG HOT WATER BOTTLE,1,9/25/2011 14:37,4.95,17107,United Kingdom
556021,21987,PACK OF 6 SKULL PAPER CUPS,12,6/8/2011 12:03,0.65,12921,United Kingdom
551813,23283,DOORMAT VINTAGE LEAVES DESIGN ,2,5/4/2011 11:43,7.95,18065,United Kingdom
561485,23154,SET OF 4 JAM JAR MAGNETS,1,7/27/2011 13:42,2.08,17841,United Kingdom
562711,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1,8/8/2011 14:53,0.83,16788,United Kingdom
564742,23084,RABBIT NIGHT LIGHT,2,8/28/2011 15:01,2.08,17346,United Kingdom
565150,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,8,9/1/2011 14:26,3.95,14298,United Kingdom
C574065,22615,PACK OF 12 CIRCUS PARADE TISSUES ,-12,11/2/2011 14:43,0.39,13271,United Kingdom
560445,22671,FRENCH LAUNDRY SIGN BLUE METAL,192,7/19/2011 9:08,1.45,14156,EIRE
542115,21181,PLEASE ONE PERSON METAL SIGN,2,1/25/2011 14:01,4.13,,United Kingdom
539993,22808,SET OF 6 T-LIGHTS EASTER CHICKS,12,1/4/2011 10:00,2.95,13313,United Kingdom
545217,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,2,2/28/2011 16:59,2.08,,United Kingdom
538808,22564,ALPHABET STENCIL CRAFT,6,12/14/2010 12:11,1.25,14057,United Kingdom
538660,82583,HOT BATHS METAL SIGN,12,12/13/2010 15:37,2.1,15808,United Kingdom
570488,21976,PACK OF 60 MUSHROOM CAKE CASES,1,10/10/2011 17:12,1.25,14096,United Kingdom
542254,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,1/26/2011 16:41,2.95,14733,United Kingdom
563073,22357,KINGS CHOICE BISCUIT TIN,4,8/11/2011 15:56,4.25,18235,United Kingdom
575931,23546,WRAP PAISLEY PARK ,25,11/13/2011 10:35,0.42,16560,United Kingdom
551291,16008,SMALL FOLDING SCISSOR(POINTED EDGE),240,4/27/2011 14:26,0.08,14298,United Kingdom
581492,71270,PHOTO CLIP LINE,1,12/9/2011 10:03,2.46,,United Kingdom
539041,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,24,12/15/2010 15:34,0.5,15456,United Kingdom
566871,23355,HOT WATER BOTTLE KEEP CALM,4,9/15/2011 13:27,4.95,17047,United Kingdom
570796,22386,JUMBO BAG PINK POLKADOT,2,10/12/2011 12:19,2.08,16241,United Kingdom
550314,84358,FLOOR LAMP SHADE WOOD BASE,4,4/17/2011 11:30,8.49,16905,United Kingdom
547786,20676,RED RETROSPOT BOWL,4,3/25/2011 11:44,1.25,14587,United Kingdom
545054,35961,FOLKART ZINC HEART CHRISTMAS DEC,2,2/27/2011 12:41,0.85,14472,United Kingdom
545701,47566,PARTY BUNTING,6,3/6/2011 15:17,4.95,17107,United Kingdom
539434,22969,HOMEMADE JAM SCENTED CANDLES,1,12/17/2010 14:41,3.36,,United Kingdom
558096,23245,SET OF 3 REGENCY CAKE TINS,2,6/26/2011 13:24,4.95,15532,United Kingdom
574323,22807,SET OF 6 T-LIGHTS TOADSTOOLS,2,11/3/2011 19:50,2.95,16438,United Kingdom
564308,22562,MONSTERS STENCIL CRAFT,12,8/24/2011 12:36,1.25,13901,United Kingdom
562804,23201,JUMBO BAG ALPHABET,10,8/9/2011 14:48,2.08,13355,United Kingdom
547517,22740,POLKADOT PEN,48,3/23/2011 14:33,0.85,12395,Belgium
560368,20679,EDWARDIAN PARASOL RED,1,7/18/2011 12:25,5.95,17841,United Kingdom
564657,23546,WRAP PAISLEY PARK ,25,8/26/2011 14:44,0.42,14135,United Kingdom
544599,22197,SMALL POPCORN HOLDER,5,2/21/2011 18:15,1.63,,United Kingdom
564573,22069,BROWN  PIRATE TREASURE CHEST ,1,8/26/2011 11:19,1.65,14606,United Kingdom
541871,DOT,DOTCOM POSTAGE,1,1/24/2011 9:41,127.09,,United Kingdom
571281,21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,8,10/16/2011 13:23,4.25,14088,United Kingdom
557493,84378,SET OF 3 HEART COOKIE CUTTERS,1,6/20/2011 15:18,3.29,,United Kingdom
541493,22384,LUNCH BAG PINK POLKADOT,2,1/18/2011 14:29,4.96,,United Kingdom
581501,23151,ZINC SWEETHEART SOAP DISH,12,12/9/2011 10:46,0.79,12985,United Kingdom
566400,22144,CHRISTMAS CRAFT LITTLE FRIENDS,6,9/12/2011 13:16,2.1,17139,United Kingdom
545568,22457,NATURAL SLATE HEART CHALKBOARD ,1,3/3/2011 16:22,5.79,,United Kingdom
581480,23355,HOT WATER BOTTLE KEEP CALM,12,12/9/2011 9:07,4.95,14441,United Kingdom
574034,82580,BATHROOM METAL SIGN,2,11/2/2011 12:45,0.55,17841,United Kingdom
541219,22259,FELT FARM ANIMAL HEN,3,1/14/2011 14:06,0.83,,United Kingdom
566261,C2,CARRIAGE,1,9/11/2011 12:46,50,13372,United Kingdom
541857,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,1/23/2011 15:17,0.85,12727,France
544599,22723,SET OF 6 HERB TINS SKETCHBOOK,1,2/21/2011 18:15,8.29,,United Kingdom
546649,21916,SET 12 RETRO WHITE CHALK STICKS,1,3/15/2011 14:17,0.79,,United Kingdom
544065,48185,DOORMAT FAIRY CAKE,2,2/15/2011 13:52,7.95,14346,United Kingdom
581401,23118,PARISIENNE JEWELLERY DRAWER ,4,12/8/2011 13:43,7.5,17644,United Kingdom
563429,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,8/16/2011 11:48,1.65,13999,United Kingdom
544278,22207,FRYING PAN UNION FLAG,4,2/17/2011 12:01,4.25,15382,United Kingdom
558385,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,6/29/2011 9:13,7.65,16525,United Kingdom
556280,22283,6 EGG HOUSE PAINTED WOOD,2,6/9/2011 20:03,7.95,14584,United Kingdom
558049,16237,SLEEPING CAT ERASERS,5,6/24/2011 14:16,0.21,15850,United Kingdom
541422,22134,MINI LADLE LOVE HEART RED ,8,1/17/2011 17:48,0.42,,United Kingdom
555147,23170,REGENCY TEA PLATE ROSES ,12,5/31/2011 15:41,1.65,13505,Switzerland
576059,23583,LUNCH BAG PAISLEY PARK  ,2,11/13/2011 15:19,1.65,15411,United Kingdom
573093,23378,PACK OF 12 50'S CHRISTMAS TISSUES,3,10/27/2011 14:38,0.39,18283,United Kingdom
562574,22147,FELTCRAFT BUTTERFLY HEARTS,1,8/7/2011 12:42,1.45,14903,United Kingdom
547936,21987,PACK OF 6 SKULL PAPER CUPS,1,3/28/2011 14:23,0.65,15874,United Kingdom
541491,20749,ASSORTED COLOUR MINI CASES,12,1/18/2011 14:04,6.35,12510,Spain
569866,23344,JUMBO BAG 50'S CHRISTMAS ,30,10/6/2011 14:50,2.08,12757,Portugal
553673,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,5/18/2011 12:46,1.25,16814,United Kingdom
547867,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,3/27/2011 13:56,2.95,13357,United Kingdom
541999,90120B,BLUE MURANO TWIST BRACELET,8,1/25/2011 10:45,4.15,,United Kingdom
569530,23356,LOVE HOT WATER BOTTLE,1,10/4/2011 14:58,5.95,17957,United Kingdom
575589,22991,GIRAFFE WOODEN RULER,12,11/10/2011 12:05,1.95,14262,United Kingdom
543820,22208,WOOD STAMP SET THANK YOU,8,2/13/2011 16:05,1.65,16084,United Kingdom
565754,21731,RED TOADSTOOL LED NIGHT LIGHT,12,9/6/2011 13:11,1.65,15462,United Kingdom
556636,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,2,6/13/2011 15:30,1.63,,United Kingdom
538854,22629,SPACEBOY LUNCH BOX ,24,12/14/2010 13:44,1.95,13102,United Kingdom
C549822,84884A,ANT WHITE WIRE HEART SPIRAL,-1,4/12/2011 12:35,3.95,12854,United Kingdom
573399,23534,WALL ART STOP FOR TEA ,3,10/30/2011 15:35,5.95,13949,United Kingdom
566249,22120,WELCOME  WOODEN BLOCK LETTERS,1,9/11/2011 12:09,9.95,13527,United Kingdom
571682,21899,GARAGE KEY FOB,4,10/18/2011 14:00,0.65,14179,United Kingdom
566307,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,9/12/2011 9:37,1.25,14307,United Kingdom
569231,21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,2,10/2/2011 15:18,1.65,13379,United Kingdom
565917,23165,LARGE CERAMIC TOP STORAGE JAR,1,9/7/2011 16:15,3.29,,United Kingdom
581492,23340,VINTAGE CHRISTMAS CAKE FRILL,3,12/9/2011 10:03,3.29,,United Kingdom
563209,22335,HEART DECORATION PAINTED ZINC ,6,8/14/2011 12:23,0.65,13527,United Kingdom
551544,23156,SET OF 5 MINI GROCERY MAGNETS,24,5/3/2011 9:33,2.08,12683,France
544796,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,2,2/23/2011 13:37,2.95,16208,United Kingdom
570488,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,2,10/10/2011 17:12,6.63,14096,United Kingdom
550775,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,4/20/2011 13:18,1.25,15805,United Kingdom
564172,23332,IVORY WICKER HEART LARGE,3,8/23/2011 14:19,1.65,16033,United Kingdom
556579,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,6/13/2011 14:16,2.95,15069,United Kingdom
580612,22200,FRYING PAN PINK POLKADOT,1,12/5/2011 11:58,8.29,,United Kingdom
566037,21232,STRAWBERRY CERAMIC TRINKET BOX,144,9/8/2011 13:26,1.06,13249,United Kingdom
575930,22340,NOEL GARLAND PAINTED ZINC ,4,11/11/2011 17:58,0.83,,United Kingdom
549262,47566,PARTY BUNTING,3,4/7/2011 12:38,4.95,14465,United Kingdom
541711,20674,GREEN POLKADOT BOWL,16,1/21/2011 11:18,1.25,14646,Netherlands
547867,85049E,SCANDINAVIAN REDS RIBBONS,2,3/27/2011 13:56,1.25,13357,United Kingdom
571197,22185,SLATE TILE NATURAL HANGING,4,10/14/2011 12:08,1.65,16413,United Kingdom
553008,22722,SET OF 6 SPICE TINS PANTRY DESIGN,5,5/12/2011 16:52,3.95,17315,United Kingdom
550007,23206,LUNCH BAG APPLE DESIGN,100,4/14/2011 10:13,1.45,15125,United Kingdom
568301,22384,LUNCH BAG PINK POLKADOT,2,9/26/2011 12:45,1.65,16383,United Kingdom
562779,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,8/9/2011 12:58,8.5,17841,United Kingdom
